transaction_id,city,transaction_date,card_type,exp_type,gender,amount
1,Delhi,29-Oct-14,Gold,Bills,F,82475
2,Greater Mumbai,22-Aug-14,Platinum,Bills,F,32555
3,Bengaluru,27-Aug-14,Silver,Bills,F,101738
4,Greater Mumbai,12-Apr-14,Signature,Bills,F,123424
5,Bengaluru,5-May-15,Gold,Bills,F,171574
6,Delhi,8-Sep-14,Silver,Bills,F,100036
7,Delhi,24-Feb-15,Gold,Bills,F,143250
8,Greater Mumbai,26-Jun-14,Platinum,Bills,F,150980
9,Delhi,28-Mar-14,Silver,Bills,F,192247
10,Delhi,1-Sep-14,Platinum,Bills,F,67932
11,Delhi,22-Jun-14,Platinum,Bills,F,280061
12,Greater Mumbai,7-Dec-13,Signature,Bills,F,278036
13,Greater Mumbai,7-Aug-14,Gold,Bills,F,19226
14,Delhi,27-Apr-14,Signature,Bills,F,254359
15,Greater Mumbai,15-Aug-14,Signature,Bills,F,302834
16,Greater Mumbai,28-Nov-14,Platinum,Bills,F,647116
17,Greater Mumbai,14-Jun-14,Signature,Bills,F,421878
18,Greater Mumbai,30-Mar-15,Gold,Bills,F,986379
19,Greater Mumbai,15-Mar-14,Platinum,Bills,F,213047
20,Greater Mumbai,9-Nov-13,Platinum,Bills,F,735566
21,Delhi,4-Apr-14,Signature,Bills,F,366102
22,Delhi,1-Jul-14,Signature,Bills,F,809623
23,Greater Mumbai,27-Mar-15,Silver,Bills,F,467014
24,Ahmedabad,11-Oct-13,Gold,Bills,F,668568
25,Ahmedabad,26-Mar-14,Gold,Bills,F,339112
26,Delhi,27-Sep-14,Silver,Bills,F,622170
27,Bengaluru,23-Mar-14,Platinum,Bills,F,434427
28,Greater Mumbai,17-May-14,Signature,Bills,F,655846
29,Bengaluru,18-Jan-15,Platinum,Bills,F,987935
30,Delhi,18-Apr-15,Gold,Bills,F,702774
31,Bengaluru,31-Jul-14,Signature,Bills,F,225392
32,Greater Mumbai,11-Feb-15,Gold,Bills,F,296573
33,Ahmedabad,24-Nov-13,Platinum,Bills,F,227702
34,Ahmedabad,8-Nov-14,Gold,Bills,F,864090
35,Ahmedabad,6-Sep-14,Signature,Bills,F,440605
36,Ahmedabad,24-Mar-15,Platinum,Bills,F,954660
37,Ahmedabad,1-Jan-14,Signature,Bills,F,255577
38,Ahmedabad,12-Jul-14,Silver,Bills,F,337352
39,Ahmedabad,4-Feb-14,Platinum,Bills,F,660244
40,Delhi,3-Feb-15,Silver,Bills,F,401351
41,Delhi,27-Oct-13,Platinum,Bills,F,678842
42,Delhi,11-May-14,Gold,Bills,F,478861
43,Bengaluru,10-Nov-14,Platinum,Bills,F,804938
44,Delhi,30-Jan-15,Silver,Bills,F,888341
45,Bengaluru,19-Apr-14,Platinum,Bills,F,262414
46,Bengaluru,8-Sep-14,Gold,Bills,F,249353
47,Ahmedabad,10-Dec-13,Gold,Bills,F,892016
48,Ahmedabad,4-Nov-13,Platinum,Bills,F,313626
49,Greater Mumbai,1-Jun-14,Gold,Bills,F,314366
50,Greater Mumbai,27-Apr-14,Signature,Bills,F,551340
51,Delhi,4-Oct-13,Signature,Bills,F,735037
52,Greater Mumbai,31-Dec-14,Platinum,Bills,F,574023
53,Ahmedabad,21-Dec-13,Signature,Bills,F,402300
54,Delhi,7-Dec-13,Signature,Bills,F,733125
